Opcode,Mnemonic,Addressing,Cycle,Symbolic Code,W2,W1,W0
4D,EOR,Abs,1,DL := *PC; PC += 1,0004,100A,0010
4D,EOR,Abs,2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
4D,EOR,Abs,3,ADH := DL,0038,0800,0000
4D,EOR,Abs,4,"DL := *{latch} + X; EOR(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,320A,0012
4E,LSR,Abs,0,IR := *PC; PC += 1,0004,100A,0010
4E,LSR,Abs,1,DL := *PC; PC += 1,0004,100A,0010
4E,LSR,Abs,2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
4E,LSR,Abs,3,ADH := DL,0038,0800,0000
4E,LSR,Abs,4,DL := *{latch} + X; TMP := *{latch} + X,0000,320A,0090
4E,LSR,Abs,5,LSR(TMP),4830,0000,0000
4E,LSR,Abs,6,*{latch} + X := ALU_RESULT; ALU_FLAGS_LD; END,F800,3205,0012
4F,SRE,Abs,0,IR := *PC; PC += 1,0004,100A,0010
4F,SRE,Abs,1,DL := *PC; PC += 1,0004,100A,0010
4F,SRE,Abs,2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
4F,SRE,Abs,3,ADH := DL,0038,0800,0000
4F,SRE,Abs,4,DL := *{latch} + X; TMP := *{latch} + X,0000,320A,0090
4F,SRE,Abs,5,LSR(TMP); *{latch} + X := ALU_RESULT; DL := ALU_RESULT,7830,3205,0010
4F,SRE,Abs,6,"EOR(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,0000,0002
50,BVC,Rel,0,IR := *PC; PC += 1,0004,100A,0010
50,BVC,Rel,1,ADL := *PC; PC += 1; TEST_BRANCH_EN; END,0004,140A,001A
50,BVC,Rel,2,PC := {pc_plus_offset}; END,0002,8000,0012
51,EOR,"(ZP),Y",0,IR := *PC; PC += 1,0004,100A,0010
51,EOR,"(ZP),Y",1,DL := *PC; PC += 1,0004,100A,0010
51,EOR,"(ZP),Y",2,ADL := DL; DL := *{zeropage_indirect},0038,940A,0010
51,EOR,"(ZP),Y",3,TMP := DL; DL := *{zeropage_indirect_inc},0038,A00A,0090
51,EOR,"(ZP),Y",4,ADH := DL; ADL := TMP,0030,0C00,0000
51,EOR,"(ZP),Y",5,"DL := *{latch} + Y; EOR(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,310A,0012
53,SRE,"(ZP),Y",0,IR := *PC; PC += 1,0004,100A,0010
53,SRE,"(ZP),Y",1,DL := *PC; PC += 1,0004,100A,0010
53,SRE,"(ZP),Y",2,ADL := DL; DL := *{zeropage_indirect},0038,940A,0010
53,SRE,"(ZP),Y",3,TMP := DL; DL := *{zeropage_indirect_inc},0038,A00A,0090
53,SRE,"(ZP),Y",4,ADH := DL; ADL := TMP,0030,0C00,0000
53,SRE,"(ZP),Y",5,DL := *{latch} + Y; TMP := *{latch} + Y,0000,310A,0090
53,SRE,"(ZP),Y",6,LSR(TMP); *{latch} + Y := ALU_RESULT; DL := ALU_RESULT,7830,3105,0010
53,SRE,"(ZP),Y",7,"EOR(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,0000,0002
55,EOR,"ZP,X",0,IR := *PC; PC += 1,0004,100A,0010
55,EOR,"ZP,X",1,DL := *PC; PC += 1,0004,100A,0010
55,EOR,"ZP,X",2,ADL := DL,0038,0400,0000
55,EOR,"ZP,X",3,DL := *{zeropage} + X; ADL := DL,0038,860A,0010
55,EOR,"ZP,X",4,"DL := *{zeropage}; EOR(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,800A,0012
56,LSR,"ZP,X",0,IR := *PC; PC += 1,0004,100A,0010
56,LSR,"ZP,X",1,DL := *PC; PC += 1,0004,100A,0010
56,LSR,"ZP,X",2,ADL := DL,0038,0400,0000
56,LSR,"ZP,X",3,DL := *{zeropage} + X; ADL := DL,0038,860A,0010
56,LSR,"ZP,X",4,DL := *{zeropage}; TMP := *{zeropage},0000,800A,0090
56,LSR,"ZP,X",5,LSR(TMP),4830,0000,0000
56,LSR,"ZP,X",6,*{zeropage} := ALU_RESULT; ALU_FLAGS_LD; END,F800,8005,0012
57,SRE,"ZP,X",0,IR := *PC; PC += 1,0004,100A,0010
57,SRE,"ZP,X",1,DL := *PC; PC += 1,0004,100A,0010
57,SRE,"ZP,X",2,ADL := DL,0038,0400,0000
57,SRE,"ZP,X",3,DL := *{zeropage} + X; ADL := DL,0038,860A,0010
57,SRE,"ZP,X",4,DL := *{zeropage}; TMP := *{zeropage},0000,800A,0090
57,SRE,"ZP,X",5,LSR(TMP); *{zeropage} := ALU_RESULT; DL := ALU_RESULT,7830,8005,0010
57,SRE,"ZP,X",6,"EOR(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,0000,0002
58,CLI,Impl,0,IR := *PC; PC += 1,0004,100A,0010
58,CLI,Impl,1,CLRF(I); END,0000,0000,0202
59,EOR,"Abs,Y",0,IR := *PC; PC += 1,0004,100A,0010
59,EOR,"Abs,Y",1,DL := *PC; PC += 1,0004,100A,0010
59,EOR,"Abs,Y",2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
59,EOR,"Abs,Y",3,ADH := DL,0038,0800,0000
59,EOR,"Abs,Y",4,"DL := *{latch} + X; EOR(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,320A,0012
5B,SRE,"Abs,Y",0,IR := *PC; PC += 1,0004,100A,0010
5B,SRE,"Abs,Y",1,DL := *PC; PC += 1,0004,100A,0010
5B,SRE,"Abs,Y",2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
5B,SRE,"Abs,Y",3,ADH := DL,0038,0800,0000
5B,SRE,"Abs,Y",4,DL := *{latch} + X; TMP := *{latch} + X,0000,320A,0090
5B,SRE,"Abs,Y",5,LSR(TMP); *{latch} + X := ALU_RESULT; DL := ALU_RESULT,7830,3205,0010
5B,SRE,"Abs,Y",6,"EOR(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,0000,0002
5D,EOR,"Abs,X",0,IR := *PC; PC += 1,0004,100A,0010
5D,EOR,"Abs,X",1,DL := *PC; PC += 1,0004,100A,0010
5D,EOR,"Abs,X",2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
5D,EOR,"Abs,X",3,ADH := DL,0038,0800,0000
5D,EOR,"Abs,X",4,"DL := *{latch} + X; EOR(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,320A,0012
5E,LSR,"Abs,X",0,IR := *PC; PC += 1,0004,100A,0010
5E,LSR,"Abs,X",1,DL := *PC; PC += 1,0004,100A,0010
5E,LSR,"Abs,X",2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
5E,LSR,"Abs,X",3,ADH := DL,0038,0800,0000
5E,LSR,"Abs,X",4,DL := *{latch} + X; TMP := *{latch} + X,0000,320A,0090
5E,LSR,"Abs,X",5,LSR(TMP),4830,0000,0000
5E,LSR,"Abs,X",6,*{latch} + X := ALU_RESULT; ALU_FLAGS_LD; END,F800,3205,0012
5F,SRE,"Abs,X",0,IR := *PC; PC += 1,0004,100A,0010
5F,SRE,"Abs,X",1,DL := *PC; PC += 1,0004,100A,0010
5F,SRE,"Abs,X",2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
5F,SRE,"Abs,X",3,ADH := DL,0038,0800,0000
5F,SRE,"Abs,X",4,DL := *{latch} + X; TMP := *{latch} + X,0000,320A,0090
5F,SRE,"Abs,X",5,LSR(TMP); *{latch} + X := ALU_RESULT; DL := ALU_RESULT,7830,3205,0010
5F,SRE,"Abs,X",6,"EOR(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,0000,0002
60,RTS,Impl,0,IR := *PC; PC += 1,0004,100A,0010
60,RTS,Impl,1,SP += 1,0000,0020,0000
60,RTS,Impl,2,DL := *SP; PCL := DL,0038,200A,0010
60,RTS,Impl,3,SP += 1,0000,0020,0000
60,RTS,Impl,4,DL := *SP; PCH := DL,0038,200A,0010
60,RTS,Impl,5,PC += 1; END,0004,0000,0002
61,ADC,"(ZP,X)",0,IR := *PC; PC += 1,0004,100A,0010
61,ADC,"(ZP,X)",1,DL := *PC; PC += 1,0004,100A,0010
61,ADC,"(ZP,X)",2,ADL := {calculate_zp_x_pointer}; DL := *{zeropage_indirect},0000,940A,0010
61,ADC,"(ZP,X)",3,TMP := DL; DL := *{zeropage_indirect_inc},0038,A00A,0090
61,ADC,"(ZP,X)",4,ADH := DL; ADL := TMP,0030,0C00,0000
61,ADC,"(ZP,X)",5,"DL := *{latch}; ADC(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,300A,0012
63,RRA,"(ZP,X)",0,IR := *PC; PC += 1,0004,100A,0010
63,RRA,"(ZP,X)",1,DL := *PC; PC += 1,0004,100A,0010
63,RRA,"(ZP,X)",2,ADL := {calculate_zp_x_pointer}; DL := *{zeropage_indirect},0000,940A,0010
63,RRA,"(ZP,X)",3,TMP := DL; DL := *{zeropage_indirect_inc},0038,A00A,0090
63,RRA,"(ZP,X)",4,ADH := DL; ADL := TMP,0030,0C00,0000
63,RRA,"(ZP,X)",5,DL := *{latch}; TMP := *{latch},0000,300A,0090
63,RRA,"(ZP,X)",6,ROR(TMP); *{latch} := ALU_RESULT; DL := ALU_RESULT,7830,3005,0010
63,RRA,"(ZP,X)",7,"ADC(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,0000,0002
65,ADC,ZP,0,IR := *PC; PC += 1,0004,100A,0010
65,ADC,ZP,1,DL := *PC; PC += 1,0004,100A,0010
65,ADC,ZP,2,ADL := DL,0038,0400,0000
65,ADC,ZP,3,"DL := *{zeropage}; ADC(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,800A,0012
66,ROR,ZP,0,IR := *PC; PC += 1,0004,100A,0010
66,ROR,ZP,1,DL := *PC; PC += 1,0004,100A,0010
66,ROR,ZP,2,ADL := DL,0038,0400,0000
66,ROR,ZP,3,DL := *{zeropage}; TMP := *{zeropage},0000,800A,0090
66,ROR,ZP,4,ROR(TMP),5830,0000,0000
66,ROR,ZP,5,*{zeropage} := ALU_RESULT; ALU_FLAGS_LD; END,F800,8005,0012
67,RRA,ZP,0,IR := *PC; PC += 1,0004,100A,0010
67,RRA,ZP,1,DL := *PC; PC += 1,0004,100A,0010
67,RRA,ZP,2,ADL := DL,0038,0400,0000
67,RRA,ZP,3,DL := *{zeropage}; TMP := *{zeropage},0000,800A,0090
67,RRA,ZP,4,ROR(TMP); *{zeropage} := ALU_RESULT; DL := ALU_RESULT,7830,8005,0010
67,RRA,ZP,5,"ADC(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,0000,0002
68,PLA,Impl,0,IR := *PC; PC += 1,0004,100A,0010
68,PLA,Impl,1,SP += 1,0000,0020,0000
68,PLA,Impl,2,DL := *SP,0000,200A,0010
68,PLA,Impl,3,A := DL; PASS(A); ALU_FLAGS_LD; END,F428,0000,0002
69,ADC,#Imm,0,IR := *PC; PC += 1,0004,100A,0010
69,ADC,#Imm,1,DL := *PC; PC += 1,0004,100A,0010
69,ADC,#Imm,2,"ADC(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,0000,0002
6A,ROR,Acc,0,IR := *PC; PC += 1,0004,100A,0010
6A,ROR,Acc,1,ROR(A); A := ALU_RESULT; ALU_FLAGS_LD; END,FC28,0000,0002
6C,JMP,Ind,0,IR := *PC; PC += 1,0004,100A,0010
6C,JMP,Ind,1,DL := *PC; PC += 1; ADL := DL,003C,140A,0010
6C,JMP,Ind,2,DL := *PC; PC += 1; ADH := DL,003C,180A,0010
6C,JMP,Ind,3,DL := *{latch}; ADL := DL,0038,340A,0010
6C,JMP,Ind,4,DL := *{latch_inc}; ADH := DL,0038,C80A,0010
6C,JMP,Ind,5,"PC := {ADH, ADL}; END",0002,0000,0002
6D,ADC,Abs,0,IR := *PC; PC += 1,0004,100A,0010
6D,ADC,Abs,1,DL := *PC; PC += 1,0004,100A,0010
6D,ADC,Abs,2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
6D,ADC,Abs,3,ADH := DL,0038,0800,0000
6D,ADC,Abs,4,"DL := *{latch} + X; ADC(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,320A,0012
6E,ROR,Abs,0,IR := *PC; PC += 1,0004,100A,0010
6E,ROR,Abs,1,DL := *PC; PC += 1,0004,100A,0010
6E,ROR,Abs,2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
6E,ROR,Abs,3,ADH := DL,0038,0800,0000
6E,ROR,Abs,4,DL := *{latch} + X; TMP := *{latch} + X,0000,320A,0090
6E,ROR,Abs,5,ROR(TMP),5830,0000,0000
6E,ROR,Abs,6,*{latch} + X := ALU_RESULT; ALU_FLAGS_LD; END,F800,3205,0012
6F,RRA,Abs,0,IR := *PC; PC += 1,0004,100A,0010
6F,RRA,Abs,1,DL := *PC; PC += 1,0004,100A,0010
6F,RRA,Abs,2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
6F,RRA,Abs,3,ADH := DL,0038,0800,0000
6F,RRA,Abs,4,DL := *{latch} + X; TMP := *{latch} + X,0000,320A,0090
6F,RRA,Abs,5,ROR(TMP); *{latch} + X := ALU_RESULT; DL := ALU_RESULT,7830,3205,0010
6F,RRA,Abs,6,"ADC(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,0000,0002
70,BVS,Rel,0,IR := *PC; PC += 1,0004,100A,0010
70,BVS,Rel,1,ADL := *PC; PC += 1; TEST_BRANCH_EN; END,0004,140A,001A
70,BVS,Rel,2,PC := {pc_plus_offset}; END,0002,8000,0012
71,ADC,"(ZP),Y",0,IR := *PC; PC += 1,0004,100A,0010
71,ADC,"(ZP),Y",1,DL := *PC; PC += 1,0004,100A,0010
71,ADC,"(ZP),Y",2,ADL := DL; DL := *{zeropage_indirect},0038,940A,0010
71,ADC,"(ZP),Y",3,TMP := DL; DL := *{zeropage_indirect_inc},0038,A00A,0090
71,ADC,"(ZP),Y",4,ADH := DL; ADL := TMP,0030,0C00,0000
71,ADC,"(ZP),Y",5,"DL := *{latch} + Y; ADC(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,310A,0012
73,RRA,"(ZP),Y",0,IR := *PC; PC += 1,0004,100A,0010
73,RRA,"(ZP),Y",1,DL := *PC; PC += 1,0004,100A,0010
73,RRA,"(ZP),Y",2,ADL := DL; DL := *{zeropage_indirect},0038,940A,0010
73,RRA,"(ZP),Y",3,TMP := DL; DL := *{zeropage_indirect_inc},0038,A00A,0090
73,RRA,"(ZP),Y",4,ADH := DL; ADL := TMP,0030,0C00,0000
73,RRA,"(ZP),Y",5,DL := *{latch} + Y; TMP := *{latch} + Y,0000,310A,0090
73,RRA,"(ZP),Y",6,ROR(TMP); *{latch} + Y := ALU_RESULT; DL := ALU_RESULT,7830,3105,0010
73,RRA,"(ZP),Y",7,"ADC(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,0000,0002
75,ADC,"ZP,X",0,IR := *PC; PC += 1,0004,100A,0010
75,ADC,"ZP,X",1,DL := *PC; PC += 1,0004,100A,0010
75,ADC,"ZP,X",2,ADL := DL,0038,0400,0000
75,ADC,"ZP,X",3,DL := *{zeropage} + X; ADL := DL,0038,860A,0010
75,ADC,"ZP,X",4,"DL := *{zeropage}; ADC(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,800A,0012
76,ROR,"ZP,X",0,IR := *PC; PC += 1,0004,100A,0010
76,ROR,"ZP,X",1,DL := *PC; PC += 1,0004,100A,0010
76,ROR,"ZP,X",2,ADL := DL,0038,0400,0000
76,ROR,"ZP,X",3,DL := *{zeropage} + X; ADL := DL,0038,860A,0010
76,ROR,"ZP,X",4,DL := *{zeropage}; TMP := *{zeropage},0000,800A,0090
76,ROR,"ZP,X",5,ROR(TMP),5830,0000,0000
76,ROR,"ZP,X",6,*{zeropage} := ALU_RESULT; ALU_FLAGS_LD; END,F800,8005,0012
77,RRA,"ZP,X",0,IR := *PC; PC += 1,0004,100A,0010
77,RRA,"ZP,X",1,DL := *PC; PC += 1,0004,100A,0010
77,RRA,"ZP,X",2,ADL := DL,0038,0400,0000
77,RRA,"ZP,X",3,DL := *{zeropage} + X; ADL := DL,0038,860A,0010
77,RRA,"ZP,X",4,DL := *{zeropage}; TMP := *{zeropage},0000,800A,0090
77,RRA,"ZP,X",5,ROR(TMP); *{zeropage} := ALU_RESULT; DL := ALU_RESULT,7830,8005,0010
77,RRA,"ZP,X",6,"ADC(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,0000,0002
78,SEI,Impl,0,IR := *PC; PC += 1,0004,100A,0010
78,SEI,Impl,1,SETF(I); END,0000,0000,0402
79,ADC,"Abs,Y",0,IR := *PC; PC += 1,0004,100A,0010
79,ADC,"Abs,Y",1,DL := *PC; PC += 1,0004,100A,0010
79,ADC,"Abs,Y",2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
79,ADC,"Abs,Y",3,ADH := DL,0038,0800,0000
79,ADC,"Abs,Y",4,"DL := *{latch} + X; ADC(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,320A,0012
7B,RRA,"Abs,Y",0,IR := *PC; PC += 1,0004,100A,0010
7B,RRA,"Abs,Y",1,DL := *PC; PC += 1,0004,100A,0010
7B,RRA,"Abs,Y",2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
7B,RRA,"Abs,Y",3,ADH := DL,0038,0800,0000
7B,RRA,"Abs,Y",4,DL := *{latch} + X; TMP := *{latch} + X,0000,320A,0090
7B,RRA,"Abs,Y",5,ROR(TMP); *{latch} + X := ALU_RESULT; DL := ALU_RESULT,7830,3205,0010
7B,RRA,"Abs,Y",6,"ADC(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,0000,0002
7D,ADC,"Abs,X",0,IR := *PC; PC += 1,0004,100A,0010
7D,ADC,"Abs,X",1,DL := *PC; PC += 1,0004,100A,0010
7D,ADC,"Abs,X",2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
7D,ADC,"Abs,X",3,ADH := DL,0038,0800,0000
7D,ADC,"Abs,X",4,"DL := *{latch} + X; ADC(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,320A,0012
7E,ROR,"Abs,X",0,IR := *PC; PC += 1,0004,100A,0010
7E,ROR,"Abs,X",1,DL := *PC; PC += 1,0004,100A,0010
7E,ROR,"Abs,X",2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
7E,ROR,"Abs,X",3,ADH := DL,0038,0800,0000
7E,ROR,"Abs,X",4,DL := *{latch} + X; TMP := *{latch} + X,0000,320A,0090
7E,ROR,"Abs,X",5,ROR(TMP),5830,0000,0000
7E,ROR,"Abs,X",6,*{latch} + X := ALU_RESULT; ALU_FLAGS_LD; END,F800,3205,0012
7F,RRA,"Abs,X",0,IR := *PC; PC += 1,0004,100A,0010
7F,RRA,"Abs,X",1,DL := *PC; PC += 1,0004,100A,0010
7F,RRA,"Abs,X",2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
7F,RRA,"Abs,X",3,ADH := DL,0038,0800,0000
7F,RRA,"Abs,X",4,DL := *{latch} + X; TMP := *{latch} + X,0000,320A,0090
7F,RRA,"Abs,X",5,ROR(TMP); *{latch} + X := ALU_RESULT; DL := ALU_RESULT,7830,3205,0010
7F,RRA,"Abs,X",6,"ADC(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,0000,0002
81,STA,"(ZP,X)",0,IR := *PC; PC += 1,0004,100A,0010
81,STA,"(ZP,X)",1,DL := *PC; PC += 1,0004,100A,0010
81,STA,"(ZP,X)",2,ADL := {calculate_zp_x_pointer}; DL := *{zeropage_indirect},0000,940A,0010
